Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2016;11.938
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2015;10.857
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2023;49.470
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2022;41.073
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2021;36.757
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2020;33.676
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2019;31.750
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2018;31.549
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2017;32.353
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2016;30.556
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por hogar;2015;28.603
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2023;15.359
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2022;13.659
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2021;12.402
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2020;12.218
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2019;11.193
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2018;11.094
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2017;10.915
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2016;10.589
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por persona;2015;9.598
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Renta neta media por hogar;2023;39.382
