Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2019;94,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2018;96,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2017;95
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2016;95,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2015;95,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2023;51,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2022;50,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2021;50,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2020;50,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2019;51,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2018;51,7
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2017;51,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2016;52,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Edad media de la población;2015;51,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Porcentaje de población menor de 18 años;2023;6,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Porcentaje de población menor de 18 años;2022;8,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Porcentaje de población menor de 18 años;2021;8,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Porcentaje de población menor de 18 años;2020;9,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Porcentaje de población menor de 18 años;2019;8,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Porcentaje de población menor de 18 años;2018;6,9
