Provincia;CMuni;CUSEC;area_km2
Burgos;09356;0935601001;14,949
Burgos;09358;0935801001;78,853
Burgos;09360;0936001001;13,409
Burgos;09361;0936101001;86,167
Burgos;09362;0936201001;9,603
Burgos;09363;0936301001;113,037
Burgos;09365;0936501001;6,839
Burgos;09366;0936601001;14,638
Burgos;09368;0936801001;7,727
Burgos;09369;0936901001;42,431
Burgos;09372;0937201001;5,486
Burgos;09373;0937301001;172,086
Burgos;09374;0937401001;11,447
Burgos;09375;0937501001;15,647
Burgos;09377;0937701001;12,728
Burgos;09378;0937801001;22,728
Burgos;09380;0938001001;14,385
Burgos;09381;0938101001;29,358
Burgos;09382;0938201001;11,950
Burgos;09384;0938401001;30,039
Burgos;09386;0938601001;14,920
Burgos;09387;0938701001;15,348
Burgos;09388;0938801001;12,502
Burgos;09389;0938901001;28,542
Burgos;09390;0939001001;93,138
Burgos;09391;0939101001;79,149
Burgos;09392;0939201001;5,731
Burgos;09394;0939401001;36,783
Burgos;09395;0939501001;78,636
Burgos;09396;0939601001;23,189
Burgos;09398;0939801001;30,792
Burgos;09400;0940001001;25,671
Burgos;09403;0940301001;30,963
Burgos;09405;0940501001;20,461
Burgos;09406;0940601001;16,630
Burgos;09407;0940701001;16,951
Burgos;09408;0940801001;19,109
Burgos;09409;0940901001;70,379
Burgos;09410;0941001001;61,435
Burgos;09410;0941002001;77,970
Burgos;09410;0941003001;123,564
Burgos;09411;0941101001;38,442
Burgos;09412;0941201001;157,370
Burgos;09413;0941301001;156,497
Burgos;09414;0941401001;92,588
Burgos;09415;0941501001;95,643
Burgos;09416;0941601001;19,254
Burgos;09417;0941701001;18,315
