Provincia;CMuni;CUSEC;Periodo;Fuente_de_ingreso_otras_prestaciones;Fuente_de_ingreso_otros_ingresos;Fuente_de_ingreso_pensiones;Fuente_de_ingreso_prestaciones_por_desempleo;Fuente_de_ingreso_salario
Avila;05019;0501906008;2023;4,9;6,4;34;1,4;53,4
Avila;05019;0501906009;2021;2,7;13,8;38,2;1,3;44,1
Avila;05019;0501906009;2022;2,7;14,5;37,4;0,8;44,7
Avila;05019;0501906009;2023;2,9;15,7;38,3;0,9;42,3
Avila;05019;0501906010;2021;4,4;7,4;37,7;1,5;49,1
Avila;05019;0501906010;2022;4,3;7,6;38,7;1,1;48,3
Avila;05019;0501906010;2023;4,2;8,2;40,4;1;46,2
Avila;05019;0501906011;2021;2,9;14,2;11,5;1,3;70,1
Avila;05019;0501906011;2022;2,8;16;12;0,5;68,7
Avila;05019;0501906011;2023;2,8;14,8;13;0,4;69
Avila;05019;0501906012;2021;3,5;9,9;11;2,2;73,4
Avila;05019;0501906012;2022;3,6;10,2;11,3;1,1;73,8
Avila;05019;0501906012;2023;3,7;10,6;11,4;1;73,4
Avila;05019;0501906013;2021;3,8;8,6;10,3;2,2;75
Avila;05019;0501906013;2022;3,9;8,7;10,8;1;75,5
Avila;05019;0501906013;2023;4;9,1;11,4;1,1;74,3
Avila;05019;0501906014;2021;2,9;12,5;19,7;1,5;63,4
Avila;05019;0501906014;2022;3;13,4;20,4;0,9;62,3
Avila;05019;0501906014;2023;3;13,7;21,5;1;60,8
Avila;05021;0502101001;2021;4,8;15;27,6;3,2;49,4
Avila;05021;0502101001;2022;4,5;15,4;26,3;1,8;52
Avila;05021;0502101001;2023;4,4;15,5;25,8;2,2;52,1
Avila;05021;0502101002;2021;4;10;26,1;3,1;56,7
Avila;05021;0502101002;2022;4,4;9,1;26,6;2,3;57,6
Avila;05021;0502101002;2023;4,1;9,9;27,4;2,5;56,1
Avila;05022;0502201001;2021;3,9;16,4;26,8;3,2;49,7
Avila;05022;0502201001;2022;3,6;16,2;26,8;2,2;51,2
Avila;05022;0502201001;2023;3,9;16,1;26,2;1,6;52,2
Avila;05022;0502201002;2021;6,4;15,7;24,8;3,4;49,7
Avila;05022;0502201002;2022;7,3;16;26;2,4;48,3
Avila;05022;0502201002;2023;7,7;16,8;25,6;2,4;47,5
Avila;05023;0502301001;2021;3,1;29,1;21,9;2,8;43,1
Avila;05023;0502301001;2022;3,6;20,6;25,4;2,1;48,4
Avila;05023;0502301001;2023;3,6;18,5;26,9;2,3;48,7
Avila;05024;0502401001;2021;3,5;17,6;43;4;31,9
Avila;05024;0502401001;2022;4,1;15,6;49,9;2,5;28
Avila;05024;0502401001;2023;4,3;24,7;46;2,7;22,2
Avila;05026;0502601001;2021;4,5;12,7;35,7;3,3;43,9
Avila;05026;0502601001;2022;4,4;7;38;2,5;48,1
Avila;05026;0502601001;2023;4,2;12,7;33,4;2;47,8
Avila;05027;0502701001;2021;4;16,1;19,8;2;58,2
Avila;05027;0502701001;2022;4,6;13,5;23,7;1,6;56,6
Avila;05027;0502701001;2023;5,1;13,5;24,1;1,9;55,4
Avila;05033;0503301001;2021;6,6;19,5;27,4;2,6;43,9
Avila;05033;0503301001;2022;6,7;16,5;30,2;1,1;45,5
Avila;05033;0503301001;2023;6,1;18,3;31,1;0,8;43,7
Avila;05035;0503501001;2022;2,8;9,4;20,5;2,4;65
Avila;05036;0503601001;2021;2,7;15,1;36;3;43,4
Avila;05036;0503601001;2022;3,6;14;37,5;1,8;43,2
Avila;05036;0503601001;2023;3,6;10,7;34,7;3,4;47,7
Avila;05037;0503701001;2021;11,6;13,4;38,5;2;34,5
Avila;05037;0503701001;2022;11,7;11,9;38,6;2,1;35,8
